| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    23 | OBJ0728-DET01 |       684.4 |        0.728 |      3.00 |    0.895 |  1.02 |  0.263 |
|    22 | OBJ0728-DET01 |       824.8 |        0.728 |      3.00 |    0.652 |  2.07 |  0.309 |
|    21 | OBJ0728-DET01 |       956.6 |        0.728 |      3.00 |    0.895 |  3.73 |  0.380 |
|    20 | OBJ0728-DET01 |      1080.0 |        0.728 |      3.00 |    0.964 |  6.81 |  0.351 |
|    19 | OBJ0728-DET01 |      1195.3 |        0.728 |      3.00 |    0.943 | 11.02 |  0.314 |
|    18 | OBJ0728-DET01 |      1303.3 |        0.728 |      3.00 |    0.925 | 14.19 |  0.332 |
|    17 | OBJ0728-DET01 |      1404.4 |        0.728 |      3.00 |    0.904 | 18.09 |  0.247 |
|    16 | OBJ0728-DET01 |      1499.1 |        0.728 |      3.00 |    0.888 | 21.40 |  0.333 |
|    15 | OBJ0728-DET01 |      1587.8 |        0.728 |      3.00 |    0.857 | 25.59 |  0.304 |
|    14 | OBJ0728-DET01 |      1671.0 |        0.728 |      3.00 |    0.851 | 28.20 |  0.265 |
|    13 | OBJ0728-DET01 |      1749.2 |        0.728 |      3.00 |    0.853 | 12.92 |  0.206 |
