| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    30 | OBJ0243-DET01 |       262.4 |        0.243 |      3.14 |    0.825 |  0.00 |  0.269 |
|    29 | OBJ0243-DET01 |       416.5 |        0.243 |      3.12 |    0.944 |  4.56 |  0.196 |
|    28 | OBJ0243-DET01 |       562.3 |        0.243 |      3.09 |    0.905 |  8.24 |  0.219 |
|    27 | OBJ0243-DET01 |       700.4 |        0.243 |      3.07 |    0.902 | 10.67 |  0.253 |
|    26 | OBJ0243-DET01 |       831.2 |        0.243 |      3.05 |    0.862 | 11.94 |  0.295 |
|    25 | OBJ0243-DET01 |       955.2 |        0.243 |      3.03 |    0.852 | 13.59 |  0.185 |
|    24 | OBJ0243-DET01 |      1072.7 |        0.243 |      3.01 |    0.844 | 14.66 |  0.206 |
|    23 | OBJ0243-DET01 |      1184.2 |        0.243 |      2.99 |    0.828 | 15.89 |  0.315 |
|    22 | OBJ0243-DET01 |      1290.0 |        0.243 |      2.97 |    0.813 | 15.75 |  0.231 |
|    21 | OBJ0243-DET01 |      1390.5 |        0.243 |      2.95 |    0.815 | 14.98 |  0.240 |
|    20 | OBJ0243-DET01 |      1486.1 |        0.243 |      2.93 |    0.800 | 16.78 |  0.127 |
|    19 | OBJ0243-DET01 |      1577.1 |        0.243 |      2.91 |    0.795 | 17.44 |  0.241 |
|    18 | OBJ0243-DET01 |      1663.9 |        0.243 |      2.89 |    0.800 | 17.06 |  0.235 |
|    17 | OBJ0243-DET01 |      1747.2 |        0.243 |      2.87 |    0.805 | 12.87 |  0.101 |
|    16 | OBJ0243-DET01 |      1827.3 |        0.243 |      2.86 |    0.821 |  4.44 |  0.011 |
