| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0271-DET01 |        82.1 |        0.271 |      3.21 |    0.685 |  0.00 |  0.074 |
|    25 | OBJ0271-DET01 |       154.0 |        0.271 |      3.18 |    0.737 |  3.06 |  0.072 |
|    24 | OBJ0271-DET01 |       223.3 |        0.271 |      3.15 |    0.731 |  5.65 |  0.042 |
|    23 | OBJ0271-DET01 |       290.2 |        0.271 |      3.12 |    0.712 |  5.70 |  0.061 |
|    22 | OBJ0271-DET01 |       354.7 |        0.271 |      3.10 |    0.713 |  7.61 |  0.073 |
|    21 | OBJ0271-DET01 |       416.9 |        0.271 |      3.07 |    0.709 |  5.33 |  0.179 |
|    20 | OBJ0271-DET01 |       477.2 |        0.271 |      3.04 |    0.703 |  7.07 |  0.141 |
|    19 | OBJ0271-DET01 |       535.8 |        0.271 |      3.01 |    0.712 |  3.63 |  0.168 |
|    18 | OBJ0271-DET01 |       592.9 |        0.271 |      2.99 |    0.686 |  7.11 |  0.174 |
|    17 | OBJ0271-DET01 |       649.0 |        0.271 |      2.96 |    0.672 |  8.83 |  0.181 |
|    16 | OBJ0271-DET01 |       704.6 |        0.271 |      2.94 |    0.674 | 10.16 |  0.229 |
|    15 | OBJ0271-DET01 |       760.3 |        0.271 |      2.91 |    0.673 | 10.32 |  0.240 |
|    14 | OBJ0271-DET01 |       817.1 |        0.271 |      2.89 |    0.632 |  3.13 |  0.288 |
|    13 | OBJ0271-DET01 |       876.0 |        0.271 |      2.86 |    0.630 |  4.38 |  0.213 |
|    12 | OBJ0271-DET01 |       939.1 |        0.271 |      2.84 |    0.572 |  2.57 |  0.268 |
|    11 | OBJ0271-DET01 |      1008.9 |        0.271 |      2.84 |    0.703 |  0.63 |  0.131 |
