| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0719-DET01 |       102.0 |        0.719 |      3.21 |    0.707 |  0.00 |  0.074 |
|    25 | OBJ0719-DET01 |       173.8 |        0.719 |      3.18 |    0.725 |  3.07 |  0.072 |
|    24 | OBJ0719-DET01 |       243.1 |        0.719 |      3.15 |    0.702 |  5.49 |  0.042 |
|    23 | OBJ0719-DET01 |       309.8 |        0.719 |      3.12 |    0.690 |  5.55 |  0.061 |
|    22 | OBJ0719-DET01 |       374.2 |        0.719 |      3.10 |    0.677 |  7.56 |  0.073 |
|    21 | OBJ0719-DET01 |       436.4 |        0.719 |      3.07 |    0.665 |  5.43 |  0.179 |
|    20 | OBJ0719-DET01 |       496.7 |        0.719 |      3.04 |    0.653 |  7.18 |  0.141 |
|    19 | OBJ0719-DET01 |       555.1 |        0.719 |      3.01 |    0.625 |  3.58 |  0.168 |
|    18 | OBJ0719-DET01 |       612.1 |        0.719 |      2.99 |    0.624 |  7.28 |  0.174 |
|    17 | OBJ0719-DET01 |       668.2 |        0.719 |      2.96 |    0.609 |  9.01 |  0.181 |
|    16 | OBJ0719-DET01 |       723.7 |        0.719 |      2.94 |    0.600 | 10.63 |  0.229 |
|    15 | OBJ0719-DET01 |       779.2 |        0.719 |      2.91 |    0.581 | 10.78 |  0.240 |
|    14 | OBJ0719-DET01 |       835.9 |        0.719 |      2.89 |    0.568 |  3.20 |  0.288 |
|    13 | OBJ0719-DET01 |       894.8 |        0.719 |      2.86 |    0.541 |  4.43 |  0.213 |
|    12 | OBJ0719-DET01 |       957.8 |        0.719 |      2.84 |    0.575 |  2.92 |  0.268 |
|    11 | OBJ0719-DET01 |      1026.6 |        0.719 |      2.84 |    0.639 |  0.59 |  0.131 |
