| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    23 | OBJ0249-DET01 |       654.8 |        0.249 |      3.00 |    0.985 |  1.12 |  0.263 |
|    22 | OBJ0249-DET01 |       795.5 |        0.249 |      3.00 |    0.710 |  2.08 |  0.309 |
|    21 | OBJ0249-DET01 |       927.7 |        0.249 |      3.00 |    0.861 |  3.76 |  0.380 |
|    20 | OBJ0249-DET01 |      1051.0 |        0.249 |      3.00 |    1.060 |  6.95 |  0.351 |
|    19 | OBJ0249-DET01 |      1166.6 |        0.249 |      3.00 |    1.030 | 11.15 |  0.314 |
|    18 | OBJ0249-DET01 |      1274.7 |        0.249 |      3.00 |    1.002 | 14.46 |  0.332 |
|    17 | OBJ0249-DET01 |      1375.9 |        0.249 |      3.00 |    0.987 | 17.80 |  0.247 |
|    16 | OBJ0249-DET01 |      1470.7 |        0.249 |      3.00 |    0.983 | 20.67 |  0.333 |
|    15 | OBJ0249-DET01 |      1559.5 |        0.249 |      3.00 |    0.978 | 25.07 |  0.304 |
|    14 | OBJ0249-DET01 |      1642.8 |        0.249 |      3.00 |    0.964 | 27.15 |  0.265 |
|    13 | OBJ0249-DET01 |      1721.2 |        0.249 |      3.00 |    0.985 | 13.18 |  0.206 |
