| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    30 | OBJ0691-DET01 |       293.8 |        0.691 |      3.14 |    0.921 |  0.00 |  0.269 |
|    29 | OBJ0691-DET01 |       448.0 |        0.691 |      3.12 |    0.999 |  4.55 |  0.196 |
|    28 | OBJ0691-DET01 |       593.5 |        0.691 |      3.09 |    0.981 |  8.13 |  0.219 |
|    27 | OBJ0691-DET01 |       731.2 |        0.691 |      3.07 |    0.976 | 10.25 |  0.253 |
|    26 | OBJ0691-DET01 |       861.7 |        0.691 |      3.05 |    0.941 | 11.73 |  0.295 |
|    25 | OBJ0691-DET01 |       985.5 |        0.691 |      3.03 |    0.936 | 13.32 |  0.185 |
|    24 | OBJ0691-DET01 |      1102.8 |        0.691 |      3.01 |    0.920 | 14.08 |  0.206 |
|    23 | OBJ0691-DET01 |      1214.1 |        0.691 |      2.99 |    0.916 | 15.46 |  0.315 |
|    22 | OBJ0691-DET01 |      1319.7 |        0.691 |      2.97 |    0.909 | 15.23 |  0.231 |
|    21 | OBJ0691-DET01 |      1420.0 |        0.691 |      2.95 |    0.900 | 14.19 |  0.240 |
|    20 | OBJ0691-DET01 |      1515.4 |        0.691 |      2.93 |    0.889 | 16.00 |  0.127 |
|    19 | OBJ0691-DET01 |      1606.3 |        0.691 |      2.91 |    0.899 | 16.40 |  0.241 |
|    18 | OBJ0691-DET01 |      1693.0 |        0.691 |      2.89 |    0.910 | 16.14 |  0.235 |
|    17 | OBJ0691-DET01 |      1776.1 |        0.691 |      2.87 |    0.922 | 12.44 |  0.101 |
|    16 | OBJ0691-DET01 |      1856.0 |        0.691 |      2.86 |    0.939 |  4.36 |  0.011 |
