| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0262-DET01 |        81.3 |        0.262 |      3.21 |    0.533 |  2.51 |  0.075 |
|    25 | OBJ0262-DET01 |       153.3 |        0.262 |      3.18 |    0.513 | 48.48 |  0.073 |
|    24 | OBJ0262-DET01 |       222.7 |        0.262 |      3.15 |    0.497 | 73.60 |  0.043 |
|    23 | OBJ0262-DET01 |       289.6 |        0.262 |      3.12 |    0.481 | 73.71 |  0.055 |
|    22 | OBJ0262-DET01 |       354.1 |        0.262 |      3.10 |    0.474 | 79.50 |  0.077 |
|    21 | OBJ0262-DET01 |       416.5 |        0.262 |      3.07 |    0.449 | 55.90 |  0.179 |
|    20 | OBJ0262-DET01 |       476.8 |        0.262 |      3.04 |    0.437 | 72.38 |  0.141 |
|    19 | OBJ0262-DET01 |       535.4 |        0.262 |      3.01 |    0.426 | 53.72 |  0.207 |
|    18 | OBJ0262-DET01 |       592.6 |        0.262 |      2.99 |    0.407 | 65.20 |  0.171 |
|    17 | OBJ0262-DET01 |       648.8 |        0.262 |      2.96 |    0.402 | 67.68 |  0.187 |
|    16 | OBJ0262-DET01 |       704.4 |        0.262 |      2.94 |    0.385 | 70.86 |  0.233 |
|    15 | OBJ0262-DET01 |       760.1 |        0.262 |      2.91 |    0.383 | 72.30 |  0.240 |
|    14 | OBJ0262-DET01 |       816.9 |        0.262 |      2.89 |    0.369 | 41.37 |  0.294 |
|    13 | OBJ0262-DET01 |       875.9 |        0.262 |      2.86 |    0.369 | 43.84 |  0.199 |
