| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0746-DET01 |       102.6 |        0.746 |      3.21 |    0.670 |  1.85 |  0.062 |
|    25 | OBJ0746-DET01 |       174.4 |        0.746 |      3.18 |    0.640 | 43.88 |  0.075 |
|    24 | OBJ0746-DET01 |       243.8 |        0.746 |      3.15 |    0.616 | 59.91 |  0.083 |
|    23 | OBJ0746-DET01 |       310.6 |        0.746 |      3.12 |    0.611 | 41.60 |  0.064 |
|    22 | OBJ0746-DET01 |       375.0 |        0.746 |      3.10 |    0.595 | 73.28 |  0.085 |
|    21 | OBJ0746-DET01 |       437.3 |        0.746 |      3.07 |    0.576 | 69.68 |  0.116 |
|    20 | OBJ0746-DET01 |       497.6 |        0.746 |      3.04 |    0.553 | 61.75 |  0.447 |
|    19 | OBJ0746-DET01 |       556.3 |        0.746 |      3.01 |    0.508 |  0.93 |  0.448 |
|    18 | OBJ0746-DET01 |       613.2 |        0.746 |      2.99 |    0.522 | 30.97 |  0.174 |
|    17 | OBJ0746-DET01 |       669.3 |        0.746 |      2.96 |    0.500 | 67.67 |  0.159 |
|    16 | OBJ0746-DET01 |       724.8 |        0.746 |      2.94 |    0.481 | 69.87 |  0.228 |
|    15 | OBJ0746-DET01 |       780.3 |        0.746 |      2.91 |    0.459 | 62.36 |  0.282 |
|    14 | OBJ0746-DET01 |       837.7 |        0.746 |      2.89 |    0.400 |  1.00 |  0.055 |
|    13 | OBJ0746-DET01 |       895.8 |        0.746 |      2.86 |    0.424 | 29.58 |  0.190 |
