| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | manual_extract | wv_rms |
|    26 | OBJ0256-DET01 |        80.1 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.061 |
|    25 | OBJ0256-DET01 |       152.0 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.084 |
|    24 | OBJ0256-DET01 |       221.4 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.072 |
|    23 | OBJ0256-DET01 |       288.4 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.093 |
|    22 | OBJ0256-DET01 |       353.0 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.087 |
|    21 | OBJ0256-DET01 |       415.3 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.127 |
|    20 | OBJ0256-DET01 |       475.7 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.423 |
|    19 | OBJ0256-DET01 |       534.2 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.452 |
|    18 | OBJ0256-DET01 |       591.3 |        0.256 |      3.04 |    0.827 | 0.00 |           True |  0.182 |
|    17 | OBJ0256-DET01 |       647.4 |        0.256 |      3.04 |    0.827 | 0.18 |           True |  0.118 |
|    16 | OBJ0256-DET01 |       702.9 |        0.256 |      3.04 |    0.827 | 0.31 |           True |  0.237 |
|    15 | OBJ0256-DET01 |       758.6 |        0.256 |      3.04 |    0.827 | 0.29 |           True |  0.282 |
|    14 | OBJ0256-DET01 |       815.3 |        0.256 |      3.04 |    0.827 | 0.06 |           True |  0.072 |
|    13 | OBJ0256-DET01 |       874.4 |        0.256 |      3.04 |    0.827 | 0.07 |           True |  0.194 |
