| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | manual_extract | wv_rms |
|    26 | OBJ0764-DET01 |       102.5 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.061 |
|    25 | OBJ0764-DET01 |       174.5 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.084 |
|    24 | OBJ0764-DET01 |       243.9 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.072 |
|    23 | OBJ0764-DET01 |       310.7 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.093 |
|    22 | OBJ0764-DET01 |       375.2 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.087 |
|    21 | OBJ0764-DET01 |       437.4 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.127 |
|    20 | OBJ0764-DET01 |       497.8 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.423 |
|    19 | OBJ0764-DET01 |       556.0 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.452 |
|    18 | OBJ0764-DET01 |       613.1 |        0.764 |      3.04 |    0.827 | 0.00 |           True |  0.182 |
|    17 | OBJ0764-DET01 |       669.0 |        0.764 |      3.04 |    0.827 | 0.05 |           True |  0.118 |
|    16 | OBJ0764-DET01 |       724.4 |        0.764 |      3.04 |    0.827 | 0.14 |           True |  0.237 |
|    15 | OBJ0764-DET01 |       780.0 |        0.764 |      3.04 |    0.827 | 0.23 |           True |  0.282 |
|    14 | OBJ0764-DET01 |       836.5 |        0.764 |      3.04 |    0.827 | 0.03 |           True |  0.072 |
|    13 | OBJ0764-DET01 |       895.4 |        0.764 |      3.04 |    0.827 | 0.06 |           True |  0.194 |
